family,condition,unique_windows,vehicle_recall_mean,vehicle_recall_sd,human_head_rate_mean,human_head_rate_sd,seeds,parameter_count
SNN-S,adapted_positive_replay,1096,0.8664841849148418,0.008177816094737687,0.0340632603406326,0.005346227442593352,3,4770
SNN-S,synthetic_only,1096,0.8172141119221411,0.0053462274425933485,0.12408759124087591,0.006386861313868611,3,4770
SNN-M,adapted_positive_replay,1096,0.9686739659367397,0.0013937274011422945,0.02068126520681265,0.0027874548022845743,3,54098
SNN-M,synthetic_only,1096,0.8281630170316302,0.010050311217675356,0.18947688564476883,0.006210638034264641,3,54098
SNN-L,adapted_positive_replay,1096,0.9711070559610707,0.0042142355415300935,0.05474452554744525,0.007901691640368965,3,206419
SNN-L,synthetic_only,1096,0.828771289537713,0.01238772010609263,0.20346715328467155,0.009869209695613109,3,206419
